"title","free_or_not","num_prereqs","num_hours","num_vids","num_exercises","num_participants","num_xp","tech"
"Introduction to R","Y",0,4,0,62,558270,6200,"R"
"Intermediate R","N",1,6,14,81,160942,7150,"R"
"Importing Data in R (Part 1)","N",1,3,11,42,27330,3600,"R"
"Data Manipulation in R with dplyr","N",2,4,11,42,55803,3400,"R"
"Cleaning Data in R","N",1,4,16,59,40352,4750,"R"
"Data Visualization with ggplot2 (Part 1)","N",2,5,14,62,51080,5250,"R"
"Working with Web Data in R","N",2,4,16,56,1779,4500,"R"
"Intermediate R - Practice","N",2,4,0,52,25028,4800,"R"
"Writing Functions in R","N",3,4,19,86,31914,7250,"R"
"Data Visualization in R","N",1,4,15,60,11642,5250,"R"
"Introduction to Data","N",1,4,15,45,12973,3150,"R"
"Correlation and Regression","N",3,4,18,58,10230,4200,"R"
"Importing Data in R (Part 2)","N",1,3,10,48,10528,3950,"R"
"Supervised Learning in R: Classification","N",2,4,14,55,2487,3950,"R"
"Reporting with R Markdown","N",3,3,8,31,38888,2550,"R"
"Exploratory Data Analysis","N",2,4,15,54,7818,3950,"R"
"Joining Data in R with dplyr","N",3,4,20,84,9396,6550,"R"
"Introduction to Machine Learning","N",3,6,15,81,53502,6700,"R"
"Introduction to R for Finance","N",0,4,14,62,7262,5300,"R"
"Exploratory Data Analysis in R: Case Study","N",3,4,15,58,6559,4800,"R"
"Importing & Cleaning Data in R: Case Studies","N",3,4,0,35,8983,3500,"R"
"Machine Learning Toolbox","N",3,4,24,88,12853,6250,"R"
"Introduction to Time Series Analysis","N",2,4,16,58,9617,4600,"R"
"Unsupervised Learning in R","N",1,4,16,49,6269,3600,"R"
"Data Visualization with ggplot2 (Part 2)","N",3,5,11,55,24255,4750,"R"
"Data Analysis in R, the data.table Way","N",3,4,10,37,43533,2900,"R"
"Working with the RStudio IDE (Part 1)","N",0,3,24,69,9207,3450,"R"
"Text Mining: Bag of Words","N",2,4,15,69,17251,5700,"R"
