"","x"
"1",14
"2",25
"3",25
"4",31
"5",10
"6",20
"7",61
"8",59
"9",58
"10",21
"11",22
"12",7
"13",26
"14",21
"15",32
"16",43
"17",65
"18",131
"19",80
"20",37
"21",28
"22",31
"23",17
"24",38
"25",134
"26",64
"27",15
"28",11
"29",16
"30",52
"31",26
"32",1
"33",27
"34",18
"35",41
"36",40
"37",16
"38",50
"39",34
"40",63
"41",10
"42",4
"43",27
"44",14
"45",1
"46",7
"47",18
"48",21
"49",19
"50",20
"51",16
"52",5
"53",3
"54",18
"55",18
"56",20
"57",43
"58",4
"59",70
"60",2
"61",30
"62",22
"63",35
"64",57
"65",1
"66",14
"67",91
"68",48
"69",28
"70",14
"71",15
"72",0
"73",33
"74",74
"75",130
"76",22
"77",23
"78",16
"79",72
"80",7
"81",20
"82",51
"83",96
"84",7
"85",84
"86",158
"87",15
"88",25
"89",61
"90",82
"91",150
"92",30
"93",10
"94",56
"95",221
"96",53
"97",16
"98",49
"99",58
"100",33
"101",32
"102",48
"103",49
"104",39
"105",17
"106",85
"107",34
"108",6
"109",23
"110",26
"111",24
"112",3
"113",6
"114",24
"115",4
"116",98
"117",86
"118",42
"119",15
"120",54
"121",75
"122",40
"123",36
"124",50
"125",11
"126",50
"127",20
"128",36
"129",16
"130",17
"131",24
"132",9
"133",39
"134",62
"135",5
"136",22
"137",68
"138",459
"139",34
"140",21
"141",14
"142",39
"143",35
"144",34
"145",100
"146",17
"147",45
"148",23
"149",0
"150",23
"151",121
"152",531
"153",17
"154",35
"155",31
"156",19
"157",5
"158",21
"159",37
"160",22
"161",16
"162",10
"163",115
"164",22
"165",35
"166",92
"167",58
"168",27
"169",38
"170",16
"171",10
"172",3
"173",66
"174",66
"175",79
"176",5
"177",36
"178",32
"179",20
"180",94
"181",27
"182",15
"183",27
"184",15
"185",93
"186",81
"187",25
"188",40
"189",16
"190",24
"191",3
"192",24
"193",18
"194",8
"195",67
"196",11
"197",11
"198",17
"199",28
"200",143
"201",21
"202",38
"203",19
"204",119
"205",86
"206",14
"207",38
"208",42
"209",32
"210",46
"211",17
"212",21
"213",22
"214",62
"215",23
"216",16
"217",264
"218",10
"219",40
"220",20
"221",5
"222",55
"223",2
"224",45
"225",14
"226",38
"227",92
"228",30
"229",26
"230",85
"231",64
"232",21
"233",53
"234",13
"235",15
"236",2
"237",98
"238",47
"239",34
"240",93
"241",8
"242",26
"243",15
"244",96
"245",10
"246",50
"247",19
"248",91
"249",27
"250",24
"251",0
"252",89
"253",17
"254",23
"255",37
"256",16
"257",24
"258",8
"259",39
"260",7
"261",30
"262",1
"263",15
"264",37
"265",15
"266",48
"267",20
"268",10
"269",44
"270",2
"271",26
"272",122
"273",42
"274",40
"275",25
"276",80
"277",35
"278",28
"279",34
"280",4
"281",47
"282",31
"283",45
"284",15
"285",28
"286",2
"287",32
"288",36
"289",16
"290",139
"291",19
"292",35
"293",16
"294",15
"295",17
"296",51
"297",18
"298",18
"299",41
"300",12
"301",39
"302",2
"303",67
"304",55
"305",47
"306",18
"307",101
"308",71
"309",38
"310",16
"311",59
"312",28
"313",1
"314",22
"315",15
"316",23
"317",12
"318",26
"319",29
"320",45
"321",12
"322",9
"323",22
"324",44
"325",26
"326",24
"327",22
"328",40
"329",20
"330",24
"331",67
"332",9
"333",19
"334",78
"335",80
"336",62
"337",50
"338",19
"339",50
"340",61
"341",16
"342",9
"343",35
"344",29
"345",11
"346",38
"347",214
"348",55
"349",38
"350",16
"351",90
"352",39
"353",28
"354",20
"355",68
"356",10
"357",55
"358",16
"359",17
"360",26
"361",40
"362",73
"363",26
"364",40
"365",27
"366",28
"367",21
"368",1
"369",16
"370",112
"371",195
"372",15
"373",2
"374",15
"375",42
"376",11
"377",109
"378",18
"379",39
"380",15
"381",30
"382",47
"383",22
"384",61
"385",22
"386",18
"387",27
"388",27
"389",29
"390",27
"391",51
"392",71
"393",28
"394",42
"395",0
"396",31
"397",15
"398",505
"399",22
"400",141
"401",15
"402",27
"403",40
"404",191
"405",60
"406",16
"407",28
"408",76
"409",20
"410",27
"411",33
"412",129
"413",107
"414",38
"415",18
"416",49
"417",18
"418",20
"419",37
"420",39
"421",38
"422",7
"423",27
"424",47
"425",42
"426",5
"427",31
"428",32
"429",32
"430",1
"431",51
"432",62
"433",29
"434",1
"435",23
"436",10
"437",12
"438",31
"439",16
"440",14
"441",22
"442",16
"443",21
"444",129
"445",26
"446",70
"447",35
"448",10
"449",38
"450",41
"451",16
"452",21
"453",23
"454",24
"455",24
"456",33
"457",79
"458",40
"459",72
"460",33
"461",45
"462",41
"463",3
"464",40
"465",34
"466",68
"467",46
"468",7
"469",24
"470",36
"471",65
"472",27
"473",50
"474",20
"475",21
"476",26
"477",43
"478",141
"479",26
"480",18
"481",13
"482",5
"483",19
"484",19
"485",206
"486",9
"487",21
"488",19
"489",15
"490",16
"491",67
"492",22
"493",358
"494",49
"495",45
"496",24
"497",68
"498",1
"499",32
"500",40
"501",119
"502",19
"503",384
"504",17
"505",16
"506",20
"507",15
"508",8
"509",15
"510",43
"511",24
"512",3
"513",52
"514",25
"515",6
"516",28
"517",19
"518",33
"519",14
"520",39
"521",40
"522",3
"523",22
"524",23
"525",22
"526",81
"527",20
"528",16
"529",15
"530",105
"531",25
"532",51
"533",17
"534",52
"535",93
"536",26
"537",115
"538",44
"539",14
"540",22
"541",5
"542",25
"543",32
"544",16
"545",6
"546",31
"547",140
"548",1
"549",65
"550",148
"551",5
"552",1
"553",26
"554",23
"555",69
"556",3
"557",20
"558",2
"559",2
"560",22
"561",2
"562",20
"563",15
"564",18
"565",32
"566",28
"567",47
"568",6
"569",13
"570",64
"571",66
"572",11
"573",21
"574",43
"575",108
"576",21
"577",23
"578",4
"579",20
"580",17
"581",3
"582",3
"583",8
"584",10
"585",5
"586",1
"587",21
"588",19
"589",37
"590",81
"591",3
"592",17
"593",18
"594",28
"595",13
"596",29
"597",48
"598",37
"599",1
"600",45
"601",50
"602",23
"603",68
"604",298
"605",26
"606",77
"607",86
"608",3
"609",10
"610",9
"611",19
"612",20
"613",21
"614",37
"615",40
"616",30
"617",21
"618",52
"619",42
"620",51
"621",29
"622",30
"623",93
"624",31
"625",26
"626",18
"627",2
"628",27
"629",22
"630",21
"631",122
"632",25
"633",8
"634",30
"635",70
"636",7
"637",16
"638",20
"639",11
"640",19
"641",48
"642",23
"643",53
"644",44
"645",11
"646",75
"647",234
"648",23
"649",22
"650",43
"651",114
"652",14
"653",49
"654",5
"655",309
"656",9
"657",69
"658",5
"659",30
"660",41
"661",31
"662",34
"663",19
"664",20
"665",20
"666",50
"667",29
"668",20
"669",8
"670",38
"671",13
"672",24
"673",33
"674",14
"675",47
"676",47
"677",138
"678",120
"679",40
"680",55
"681",32
"682",41
"683",92
"684",6
"685",16
"686",4
"687",21
"688",25
"689",19
"690",7
"691",6
"692",7
"693",16
"694",3
"695",20
"696",26
"697",27
"698",9
"699",20
"700",15
"701",84
"702",63
"703",19
"704",17
"705",9
"706",19
"707",36
"708",6
"709",89
"710",12
"711",54
"712",32
"713",2
"714",8
"715",96
"716",4
"717",4
"718",1
"719",55
"720",5
"721",35
"722",19
"723",8
"724",17
"725",8
"726",34
"727",50
"728",127
"729",22
"730",16
"731",26
"732",3
"733",8
"734",27
"735",28
"736",39
"737",20
"738",27
"739",60
"740",0
"741",61
"742",137
"743",10
"744",68
"745",36
"746",22
"747",91
"748",49
"749",20
"750",72
"751",4
"752",47
"753",110
"754",47
"755",17
"756",15
"757",19
"758",26
"759",13
"760",71
"761",29
"762",12
"763",56
"764",33
"765",2
"766",149
"767",25
"768",138
"769",143
"770",19
"771",3
"772",12
"773",22
"774",6
"775",15
"776",1
"777",61
"778",16
"779",29
"780",8
"781",15
"782",27
"783",32
"784",30
"785",35
"786",28
"787",32
"788",66
"789",16
"790",35
"791",38
"792",37
"793",27
"794",47
"795",96
"796",4
"797",30
"798",17
"799",23
"800",9
"801",24
"802",28
"803",97
"804",91
"805",22
"806",1
"807",234
"808",33
"809",9
"810",17
"811",13
"812",59
"813",36
"814",175
"815",50
"816",39
"817",1
"818",139
"819",57
"820",87
"821",41
"822",220
"823",56
"824",10
"825",39
"826",76
"827",44
"828",70
"829",77
"830",24
"831",150
"832",17
"833",29
"834",16
"835",26
"836",35
"837",94
"838",16
"839",23
"840",160
"841",26
"842",8
"843",4
"844",18
"845",69
"846",98
"847",16
"848",23
"849",23
"850",18
"851",49
"852",35
"853",10
"854",11
"855",50
"856",26
"857",5
"858",10
"859",21
"860",21
"861",20
"862",17
"863",43
"864",15
"865",15
"866",21
"867",14
"868",31
"869",18
"870",128
"871",37
"872",27
"873",25
"874",15
"875",139
"876",19
"877",33
"878",53
"879",15
"880",116
"881",38
"882",15
"883",92
"884",32
"885",17
"886",21
"887",14
"888",22
"889",8
"890",178
"891",52
"892",41
"893",24
"894",11
"895",85
"896",4
"897",64
"898",15
"899",0
"900",20
"901",17
"902",16
"903",263
"904",16
"905",34
"906",5
"907",4
"908",25
"909",12
"910",1
"911",62
"912",35
"913",20
"914",9
"915",69
"916",3
"917",102
"918",19
"919",8
"920",18
"921",181
"922",26
"923",39
"924",34
"925",18
"926",31
"927",64
"928",20
"929",62
"930",18
"931",20
"932",7
"933",20
"934",18
"935",10
"936",34
"937",52
"938",97
"939",19
"940",25
"941",0
"942",3
"943",11
"944",54
"945",5
"946",11
"947",18
"948",28
"949",11
"950",16
"951",31
"952",5
"953",15
"954",21
"955",1
"956",36
"957",52
"958",18
"959",25
"960",108
"961",43
"962",6
"963",3
"964",8
"965",30
"966",7
"967",17
"968",8
"969",30
"970",20
"971",16
"972",20
"973",15
"974",32
"975",19
"976",15
"977",26
"978",27
"979",22
"980",77
"981",271
"982",26
"983",72
"984",23
"985",5
"986",9
"987",26
"988",193
"989",20
"990",177
"991",37
"992",35
"993",22
"994",6
"995",19
"996",46
"997",184
"998",23
"999",7
"1000",61
"1001",22
"1002",25
"1003",69
"1004",32
"1005",120
"1006",24
"1007",47
"1008",24
"1009",18
"1010",14
"1011",26
"1012",41
"1013",22
"1014",57
"1015",20
"1016",32
"1017",28
"1018",16
"1019",26
"1020",76
"1021",106
"1022",13
"1023",129
"1024",17
"1025",41
"1026",21
"1027",22
"1028",30
"1029",9
"1030",7
"1031",29
"1032",18
"1033",16
"1034",18
"1035",18
"1036",4
"1037",48
"1038",7
"1039",27
"1040",33
"1041",70
"1042",43
"1043",11
"1044",39
"1045",43
"1046",22
"1047",75
"1048",34
"1049",17
"1050",19
"1051",15
"1052",30
"1053",16
"1054",5
"1055",22
"1056",21
"1057",24
"1058",13
"1059",31
"1060",29
"1061",23
"1062",60
"1063",13
"1064",17
"1065",17
"1066",31
"1067",24
"1068",28
"1069",27
"1070",23
"1071",18
"1072",21
"1073",31
"1074",57
"1075",18
"1076",17
"1077",23
"1078",23
"1079",39
"1080",100
"1081",99
"1082",191
"1083",1
"1084",19
"1085",7
"1086",41
"1087",180
"1088",11
"1089",15
"1090",4
"1091",21
"1092",16
"1093",13
"1094",56
"1095",16
"1096",194
"1097",52
"1098",26
"1099",16
"1100",16
"1101",13
"1102",49
"1103",6
"1104",34
"1105",97
"1106",30
"1107",20
"1108",74
"1109",16
"1110",19
"1111",33
"1112",45
"1113",32
"1114",37
"1115",25
"1116",22
"1117",22
"1118",74
"1119",1
"1120",47
"1121",95
"1122",27
"1123",15
"1124",21
"1125",138
"1126",67
"1127",30
"1128",13
"1129",18
"1130",4
"1131",1
"1132",123
"1133",45
"1134",15
"1135",21
"1136",18
"1137",15
"1138",95
"1139",24
"1140",75
"1141",94
"1142",23
"1143",75
"1144",25
"1145",84
"1146",78
"1147",30
"1148",41
"1149",95
"1150",13
"1151",356
"1152",71
"1153",16
"1154",46
"1155",119
"1156",73
"1157",16
"1158",17
"1159",149
"1160",18
"1161",19
"1162",34
"1163",15
"1164",22
"1165",20
"1166",115
"1167",6
"1168",21
"1169",27
"1170",6
"1171",8
"1172",46
"1173",157
"1174",161
"1175",20
"1176",7
"1177",31
"1178",68
"1179",17
"1180",18
"1181",53
"1182",23
"1183",51
"1184",12
"1185",28
"1186",4
"1187",15
"1188",34
"1189",54
"1190",50
"1191",0
"1192",22
"1193",6
"1194",30
"1195",44
"1196",16
"1197",23
"1198",18
"1199",21
"1200",1
"1201",30
"1202",8
"1203",57
"1204",20
"1205",17
"1206",2
"1207",18
"1208",16
"1209",19
"1210",28
"1211",53
"1212",104
"1213",69
"1214",34
"1215",28
"1216",32
"1217",25
"1218",17
"1219",23
"1220",45
"1221",15
"1222",17
"1223",14
"1224",18
"1225",19
"1226",9
"1227",18
"1228",40
"1229",42
"1230",16
"1231",48
"1232",33
"1233",24
"1234",22
"1235",78
"1236",23
"1237",17
"1238",1
"1239",15
"1240",19
"1241",20
"1242",62
"1243",29
"1244",32
"1245",30
"1246",136
"1247",125
"1248",10
"1249",18
"1250",11
"1251",55
"1252",20
"1253",12
"1254",17
"1255",21
"1256",27
"1257",19
"1258",3
"1259",53
"1260",33
"1261",22
"1262",12
"1263",116
"1264",9
"1265",23
"1266",44
"1267",23
"1268",25
"1269",19
"1270",16
"1271",18
"1272",6
"1273",22
"1274",100
"1275",148
"1276",5
"1277",36
"1278",117
"1279",28
"1280",24
"1281",8
"1282",29
"1283",23
"1284",18
"1285",16
"1286",36
"1287",6
"1288",24
"1289",100
"1290",27
"1291",15
"1292",18
"1293",67
"1294",32
"1295",15
"1296",61
"1297",40
"1298",14
"1299",5
"1300",74
"1301",1
"1302",20
"1303",12
"1304",18
"1305",22
"1306",27
"1307",3
"1308",31
"1309",27
"1310",22
"1311",27
"1312",13
"1313",23
"1314",19
"1315",23
"1316",19
"1317",39
"1318",22
"1319",17
"1320",244
"1321",242
"1322",17
"1323",123
"1324",8
"1325",30
"1326",22
"1327",19
"1328",5
"1329",5
"1330",15
"1331",40
"1332",19
"1333",25
"1334",13
"1335",27
"1336",49
"1337",16
"1338",35
"1339",41
"1340",57
"1341",32
"1342",14
"1343",8
"1344",2
"1345",35
"1346",2
"1347",33
"1348",64
"1349",130
"1350",21
"1351",27
"1352",15
"1353",32
"1354",10
"1355",16
"1356",0
"1357",141
"1358",16
"1359",1
"1360",108
"1361",13
"1362",5
"1363",18
"1364",14
"1365",18
"1366",29
"1367",18
"1368",35
"1369",121
"1370",17
"1371",19
"1372",24
"1373",87
"1374",17
"1375",11
"1376",7
"1377",63
"1378",5
"1379",10
"1380",5
"1381",119
"1382",41
"1383",30
"1384",3
"1385",15
"1386",9
"1387",11
"1388",63
"1389",32
"1390",86
"1391",81
"1392",147
"1393",26
"1394",1
"1395",40
"1396",15
"1397",103
"1398",23
"1399",21
"1400",17
"1401",59
"1402",39
"1403",38
"1404",1
"1405",17
"1406",29
"1407",20
"1408",25
"1409",164
"1410",25
"1411",20
"1412",19
"1413",16
"1414",11
"1415",32
"1416",17
"1417",37
"1418",148
"1419",42
"1420",6
"1421",17
"1422",28
"1423",18
"1424",22
"1425",76
"1426",25
"1427",152
"1428",95
"1429",91
"1430",6
"1431",18
"1432",23
"1433",17
"1434",31
"1435",40
"1436",17
"1437",2
"1438",17
"1439",85
"1440",115
"1441",19
"1442",87
"1443",45
"1444",46
"1445",17
"1446",17
"1447",10
"1448",17
"1449",119
"1450",96
"1451",49
"1452",12
"1453",2
"1454",36
"1455",75
"1456",39
"1457",20
"1458",25
"1459",21
"1460",18
"1461",16
"1462",7
"1463",21
"1464",17
"1465",17
"1466",88
"1467",68
"1468",26
"1469",78
"1470",114
"1471",295
"1472",20
"1473",31
"1474",29
"1475",1933
"1476",25
"1477",210
"1478",20
"1479",29
"1480",38
"1481",3
"1482",43
"1483",35
"1484",7
"1485",17
"1486",908
"1487",28
"1488",19
"1489",8
"1490",41
"1491",48
"1492",20
"1493",18
"1494",20
"1495",60
"1496",116
"1497",47
"1498",19
"1499",80
"1500",1
"1501",17
"1502",15
"1503",74
"1504",13
"1505",37
"1506",136
"1507",69
"1508",12
"1509",4
"1510",3
"1511",104
"1512",21
"1513",64
"1514",21
"1515",9
"1516",35
"1517",6
"1518",2
"1519",19
"1520",38
"1521",56
"1522",23
"1523",30
"1524",18
"1525",60
"1526",18
"1527",121
"1528",62
"1529",37
"1530",15
"1531",40
"1532",18
"1533",29
"1534",14
"1535",23
"1536",15
"1537",24
"1538",17
"1539",131
"1540",76
"1541",24
"1542",119
"1543",57
"1544",138
"1545",20
"1546",23
"1547",22
"1548",26
"1549",20
"1550",11
"1551",17
"1552",1
"1553",38
"1554",11
"1555",15
"1556",87
"1557",22
"1558",41
"1559",21
"1560",16
"1561",26
"1562",19
"1563",130
"1564",51
"1565",10
"1566",19
"1567",67
"1568",15
"1569",9
"1570",12
"1571",36
"1572",22
"1573",105
"1574",13
"1575",16
"1576",26
"1577",20
"1578",9
"1579",36
"1580",23
"1581",3
"1582",13
"1583",42
"1584",12
"1585",7
"1586",64
"1587",16
"1588",38
"1589",19
"1590",1
"1591",38
"1592",23
"1593",20
"1594",19
"1595",43
"1596",40
"1597",227
"1598",3
"1599",16
"1600",20
"1601",26
"1602",22
"1603",23
"1604",16
"1605",11
"1606",35
"1607",14
"1608",65
"1609",14
"1610",26
"1611",15
"1612",36
"1613",120
"1614",16
"1615",32
"1616",88
"1617",21
"1618",33
"1619",71
"1620",24
"1621",71
"1622",66
"1623",37
"1624",104
"1625",58
"1626",28
"1627",51
"1628",21
"1629",94
"1630",28
"1631",36
"1632",74
"1633",19
"1634",6
"1635",71
"1636",80
"1637",8
"1638",73
"1639",21
"1640",59
"1641",9
"1642",23
"1643",83
"1644",17
"1645",41
"1646",21
"1647",4
"1648",8
"1649",25
"1650",7
"1651",6
"1652",7
"1653",37
"1654",245
"1655",61
"1656",44
"1657",15
"1658",27
"1659",43
"1660",16
"1661",82
"1662",201
"1663",20
"1664",24
"1665",19
"1666",22
"1667",66
"1668",21
"1669",125
"1670",117
"1671",122
"1672",19
"1673",16
"1674",83
"1675",85
"1676",10
"1677",4
"1678",21
"1679",41
"1680",48
"1681",57
"1682",31
"1683",128
"1684",15
"1685",33
"1686",33
"1687",74
"1688",36
"1689",83
"1690",67
"1691",39
"1692",0
"1693",10
"1694",10
"1695",22
"1696",14
"1697",76
"1698",12
"1699",40
"1700",4
"1701",35
"1702",37
"1703",27
"1704",74
"1705",12
"1706",16
"1707",46
"1708",8
"1709",35
"1710",62
"1711",33
"1712",39
"1713",18
"1714",19
"1715",10
"1716",968
"1717",23
"1718",28
"1719",38
"1720",17
"1721",16
"1722",26
"1723",1
"1724",31
"1725",2
"1726",26
"1727",9
"1728",3
"1729",41
"1730",1
"1731",36
"1732",99
"1733",111
"1734",17
"1735",19
"1736",104
"1737",22
"1738",41
"1739",25
"1740",29
"1741",26
"1742",17
"1743",21
"1744",25
"1745",37
"1746",11
"1747",54
"1748",18
"1749",24
"1750",71
"1751",20
"1752",17
"1753",24
"1754",6
"1755",15
"1756",50
"1757",84
"1758",24
"1759",46
"1760",16
"1761",1
"1762",17
"1763",27
"1764",264
"1765",15
"1766",168
"1767",35
"1768",22
"1769",25
"1770",33
"1771",286
"1772",26
"1773",23
"1774",18
"1775",203
"1776",15
"1777",63
"1778",22
"1779",13
"1780",50
"1781",15
"1782",34
"1783",77
"1784",27
"1785",3
"1786",10
"1787",2
"1788",15
"1789",39
"1790",83
"1791",83
"1792",20
"1793",918
"1794",16
"1795",122
"1796",57
"1797",133
"1798",125
"1799",9
"1800",19
"1801",147
"1802",13
"1803",168
"1804",28
"1805",26
"1806",18
"1807",25
"1808",36
"1809",60
"1810",12
"1811",29
"1812",10
"1813",16
"1814",112
"1815",11
"1816",20
"1817",35
"1818",22
"1819",0
"1820",40
"1821",1
"1822",4
"1823",20
"1824",12
"1825",39
"1826",7
"1827",17
"1828",39
"1829",39
"1830",176
"1831",15
"1832",19
"1833",15
"1834",58
"1835",47
"1836",46
"1837",250
"1838",114
"1839",62
"1840",45
"1841",18
"1842",167
"1843",34
"1844",37
"1845",20
"1846",18
"1847",56
"1848",0
"1849",48
"1850",17
"1851",59
"1852",17
"1853",30
"1854",29
"1855",169
"1856",31
"1857",22
"1858",24
"1859",123
"1860",61
"1861",72
"1862",286
"1863",14
"1864",32
"1865",17
"1866",35
"1867",93
"1868",101
"1869",39
"1870",241
"1871",95
"1872",10
"1873",17
"1874",16
"1875",30
"1876",42
"1877",55
"1878",24
"1879",4
"1880",82
"1881",13
"1882",66
"1883",9
"1884",30
"1885",19
"1886",320
"1887",58
"1888",15
"1889",140
"1890",72
"1891",20
"1892",65
"1893",25
"1894",76
"1895",75
"1896",48
"1897",21
"1898",130
"1899",39
"1900",50
"1901",40
"1902",7
"1903",32
"1904",15
"1905",18
"1906",20
"1907",39
"1908",16
"1909",121
"1910",23
"1911",11
"1912",39
"1913",23
"1914",30
"1915",36
"1916",126
"1917",50
"1918",147
"1919",25
"1920",51
"1921",16
"1922",25
"1923",16
"1924",18
"1925",95
"1926",17
"1927",5
"1928",0
"1929",98
"1930",15
"1931",31
"1932",50
"1933",40
"1934",55
"1935",3
"1936",104
"1937",18
"1938",19
"1939",15
"1940",15
"1941",14
"1942",11
"1943",21
"1944",23
"1945",78
"1946",18
"1947",4
"1948",19
"1949",30
"1950",24
"1951",95
"1952",11
"1953",7
"1954",152
"1955",25
"1956",17
"1957",22
"1958",90
"1959",15
"1960",48
"1961",24
"1962",16
"1963",15
"1964",93
"1965",12
