"","origin_regionMidwest","origin_regionNortheast","origin_regionSouth","origin_regionWest","dest_regionMidwest","dest_regionNortheast","dest_regionSouth","dest_regionWest","UNIQUE_CARRIER","DEP_DEL15","ARR_DELAY_NEW","AIR_TIME","DISTANCE","max_delay","dept_time","arr_time"
"25940",0,0,1,0,1,0,0,0,"DL",1,29,82,594,"carrier",870,982
"36356",0,0,0,1,0,0,0,1,"OO",0,28,66,373,"security",631,752
"55967",1,0,0,0,0,0,1,0,"DL",1,153,99,694,"weather",1363,90
"88729",1,0,0,0,0,0,0,1,"UA",1,17,259,1846,"security",567,724
"19704",1,0,0,0,0,0,1,0,"WN",1,19,122,936,"carrier",1092,1289
"87768",0,0,0,1,0,0,1,0,"UA",1,86,100,862,"nas",1284,67
"92289",0,0,0,1,0,0,0,1,"WN",1,30,57,368,"carrier",1005,1135
"64555",0,0,1,0,0,0,0,1,"WN",1,86,277,1747,"carrier",1023,1151
"61459",1,0,0,0,0,1,0,0,"OO",1,228,56,425,"weather",1159,1255
"6036",0,1,0,0,0,0,1,0,"B6",0,18,103,612,"security",1264,1402
"20122",0,0,1,0,0,0,0,1,"WN",1,19,87,580,"carrier",895,939
"17248",0,0,0,1,0,0,0,1,"WN",1,81,105,836,"carrier",896,1086
"67114",0,0,0,1,0,0,0,1,"WN",1,35,41,236,"carrier",1196,1250
"37522",0,0,0,1,0,0,0,1,"OO",1,65,32,89,"carrier",726,807
"75202",0,1,0,0,0,0,1,0,"DL",0,26,144,853,"security",369,566
"48618",0,0,0,1,1,0,0,0,"WN",0,27,159,1099,"security",549,852
"70100",0,0,0,1,1,0,0,0,"AA",1,20,196,1744,"weather",17,382
"96892",0,1,0,0,0,0,1,0,"AA",1,104,175,1258,"carrier",793,982
"37123",0,0,0,1,0,0,0,1,"OO",1,39,34,158,"carrier",1069,1146
"75941",0,0,1,0,0,0,0,1,"DL",0,39,328,2092,"security",585,761
"91302",0,0,0,1,0,0,0,1,"WN",1,59,143,1107,"carrier",907,1134
"20722",0,0,0,1,0,0,0,1,"WN",0,32,83,391,"security",447,577
"63654",0,0,0,1,0,0,1,0,"VX",1,48,234,2288,"carrier",14,458
"12264",0,0,0,1,0,0,0,1,"OO",1,34,77,337,"carrier",805,911
"26101",0,0,0,1,0,0,1,0,"DL",1,31,238,2116,"carrier",812,1251
"37714",0,0,0,1,0,0,1,0,"OO",1,124,117,913,"nas",805,1024
"1308",0,0,1,0,0,0,1,0,"AA",1,31,120,1045,"weather",1117,1319
"37349",1,0,0,0,1,0,0,0,"OO",1,88,33,166,"carrier",918,982
"84944",0,0,0,1,0,0,0,1,"OO",1,36,103,752,"carrier",927,1050
"33242",1,0,0,0,1,0,0,0,"NK",1,21,60,334,"security",568,650
"47085",0,0,0,1,0,0,0,1,"WN",1,57,59,337,"security",1043,1162
"58559",0,1,0,0,0,1,0,0,"DL",1,71,36,187,"carrier",1262,1322
"48203",0,0,1,0,0,0,1,0,"WN",1,152,108,957,"carrier",1152,1367
"18188",0,0,0,1,0,0,0,1,"WN",1,103,104,672,"weather",1010,1133
"80806",1,0,0,0,0,0,1,0,"NK",0,42,163,986,"security",1247,1405
"65286",1,0,0,0,0,0,0,1,"WN",0,30,224,1342,"security",833,950
"77568",0,0,1,0,1,0,0,0,"DL",1,257,83,533,"carrier",121,157
"10542",0,0,1,0,0,0,1,0,"EV",1,111,75,433,"carrier",995,1103
"70679",0,0,1,0,1,0,0,0,"AA",1,97,157,1197,"weather",1119,1256
"40166",0,0,0,1,0,0,1,0,"UA",1,23,99,862,"nas",943,1134
"80173",0,0,0,1,0,0,0,1,"HA",1,315,279,2486,"carrier",1189,170
"63191",1,0,0,0,0,0,0,1,"VX",1,71,276,1744,"nas",585,786
"76459",0,0,0,1,0,0,0,1,"DL",1,17,81,630,"weather",1045,1198
"54008",0,0,1,0,0,0,0,1,"DL",1,23,304,2172,"weather",903,1052
"51730",0,0,0,1,0,1,0,0,"B6",1,17,256,2378,"carrier",1365,376
"77084",0,0,1,0,0,0,1,0,"DL",0,21,47,226,"weather",1031,1133
"2279",0,0,1,0,0,1,0,0,"AA",1,24,80,529,"security",708,828
